,repository_name,language
0,Atividade-Playlist,
1,Atividade-Web,HTML
2,atividade01-desktop,JavaScript
3,Atividade03-Update,HTML
4,Atividade04-Notificacao,TypeScript
5,Atividade1-Web,HTML
6,AtividadeDesktop02,HTML
7,Atv-Imobiliaria,HTML
8,Atv-Imobiliaria-Bootstrap,
9,banco_heranca,Java
10,Base-JogoMario,CSS
11,ByteBank,JavaScript
12,Desktop-Base-Flappy-Bird,JavaScript
13,exemplos_threads2022,
14,Fokus,
15,Formulario,HTML
16,HeloisaTibilletti,
17,Lugx-Gaming,CSS
18,projeto-vidflow,
19,ProjetoIntegrador,Java
20,ProjetoTrilogia-Web,HTML
21,projeto_estacionamento_fxml,Java
22,Refatoracao-Atv2,C
23,TecladoVirtual,HTML
24,WEBI-TADS-22,JavaScript
